Datum von;Datum bis;Netzlast [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
01.01.2015 00:00;01.01.2015 01:00;49.306,25;41.399,00
01.01.2015 01:00;01.01.2015 02:00;46.952,50;38.481,50
01.01.2015 02:00;01.01.2015 03:00;45.751,50;37.152,25
01.01.2015 03:00;01.01.2015 04:00;45.306,25;36.638,50
01.01.2015 04:00;01.01.2015 05:00;45.423,00;36.580,50
01.01.2015 05:00;01.01.2015 06:00;45.701,50;36.694,75
01.01.2015 06:00;01.01.2015 07:00;44.075,75;34.879,50
01.01.2015 07:00;01.01.2015 08:00;47.503,50;37.963,75
01.01.2015 08:00;01.01.2015 09:00;49.866,25;39.821,50
01.01.2015 09:00;01.01.2015 10:00;52.540,25;41.386,50
01.01.2015 10:00;01.01.2015 11:00;54.850,25;42.235,00
01.01.2015 11:00;01.01.2015 12:00;57.475,00;43.797,25
01.01.2015 12:00;01.01.2015 13:00;57.693,25;43.486,25
01.01.2015 13:00;01.01.2015 14:00;55.232,75;41.102,50
01.01.2015 14:00;01.01.2015 15:00;54.719,50;41.324,00
01.01.2015 15:00;01.01.2015 16:00;54.937,00;42.382,50
01.01.2015 16:00;01.01.2015 17:00;56.718,50;44.309,25
01.01.2015 17:00;01.01.2015 18:00;60.389,00;47.444,50
01.01.2015 18:00;01.01.2015 19:00;61.435,25;47.736,75
01.01.2015 19:00;01.01.2015 20:00;60.430,75;45.803,25
01.01.2015 20:00;01.01.2015 21:00;57.568,75;41.835,75
01.01.2015 21:00;01.01.2015 22:00;55.394,75;38.477,00
01.01.2015 22:00;01.01.2015 23:00;55.242,50;37.037,50
01.01.2015 23:00;02.01.2015 00:00;52.134,25;32.581,00
02.01.2015 00:00;02.01.2015 01:00;46.958,50;24.047,00
02.01.2015 01:00;02.01.2015 02:00;45.447,50;20.902,25
02.01.2015 02:00;02.01.2015 03:00;44.504,50;19.093,00
02.01.2015 03:00;02.01.2015 04:00;44.500,00;18.334,25
02.01.2015 04:00;02.01.2015 05:00;45.682,25;18.833,75
02.01.2015 05:00;02.01.2015 06:00;47.670,50;20.240,00
02.01.2015 06:00;02.01.2015 07:00;51.053,00;23.292,50
