Datum von;Datum bis;Gesamt [MWh] Originalauflösungen;Photovoltaik und Wind [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige [MWh] Originalauflösungen
01.01.2015 00:00;01.01.2015 01:00;58.974,00;7.907,25;258,50;7.648,75;0,00;51.066,75
01.01.2015 01:00;01.01.2015 02:00;57.681,00;8.471,00;258,75;8.212,25;0,00;49.210,00
01.01.2015 02:00;01.01.2015 03:00;56.256,00;8.599,25;258,50;8.340,75;0,00;47.656,75
01.01.2015 03:00;01.01.2015 04:00;54.432,00;8.667,75;259,00;8.408,75;0,00;45.764,25
01.01.2015 04:00;01.01.2015 05:00;54.522,00;8.842,50;260,50;8.582,00;0,00;45.679,50
01.01.2015 05:00;01.01.2015 06:00;53.811,00;9.006,75;262,00;8.744,75;0,00;44.804,25
01.01.2015 06:00;01.01.2015 07:00;52.771,00;9.196,25;263,25;8.933,00;0,00;43.574,75
01.01.2015 07:00;01.01.2015 08:00;53.408,00;9.539,75;264,00;9.275,75;0,00;43.868,25
01.01.2015 08:00;01.01.2015 09:00;56.291,00;10.044,75;265,00;9.723,00;56,75;46.246,25
01.01.2015 09:00;01.01.2015 10:00;61.264,00;11.153,75;265,25;10.166,00;722,50;50.110,25
01.01.2015 10:00;01.01.2015 11:00;65.848,00;12.615,25;266,00;10.461,50;1.887,75;53.232,75
01.01.2015 11:00;01.01.2015 12:00;69.141,00;13.677,75;266,00;10.516,75;2.895,00;55.463,25
01.01.2015 12:00;01.01.2015 13:00;69.983,00;14.207,00;266,25;10.531,25;3.409,50;55.776,00
01.01.2015 13:00;01.01.2015 14:00;67.631,00;14.130,25;267,00;10.677,00;3.186,25;53.500,75
01.01.2015 14:00;01.01.2015 15:00;65.583,00;13.395,50;266,50;10.910,50;2.218,50;52.187,50
01.01.2015 15:00;01.01.2015 16:00;64.276,00;12.554,50;266,00;11.405,00;883,50;51.721,50
01.01.2015 16:00;01.01.2015 17:00;65.997,00;12.409,25;266,00;12.032,50;110,75;53.587,75
01.01.2015 17:00;01.01.2015 18:00;68.652,00;12.944,50;266,00;12.678,50;0,00;55.707,50
01.01.2015 18:00;01.01.2015 19:00;69.980,00;13.698,50;266,00;13.432,50;0,00;56.281,50
01.01.2015 19:00;01.01.2015 20:00;69.978,00;14.627,50;265,25;14.362,25;0,00;55.350,50
